question,candidate answer,is correct,sent_text,sent_tags,sent_tokens,nbr_text,nbr_tags,nbr_tokens,topic1,topic2
how many seats are there in cse for admission?,"The admission of a candidate to the undergraduate program may be cancelled if any material information provided is found to be incorrect, a candidate to the undergraduate program or a candidate to the undergraduate program does not pay the fee by the given date, or does not report on the announced day for registration.",0,0.43429448190325176,0.43429448190325176,0.43429448190325176,0.43429448190325176,0.43429448190325176,0.43429448190325176,2.0,2.0,0.0
what is the admission criteria for btech,"Details about the admission criteria and entrance test(s) whose scores are to be used, are announced through the admission prospectus each year.",0,1.9553454271751192,0.768095709575453,2.8319535816360473,1.1404413809157725,0.768095709575453,2.8319535816360473,0.6766149226801853,0.0,0.0
what is the admission criteria for btech,"Admission to the undergraduate program at IIIT-Delhi is based on criteria which use scores from entrance test(s), class XII, and other competitions.",0,0.30341307554227914,0.737707557445531,0.737707557445531,1.7461081164312424,0.737707557445531,0.737707557445531,1.945945945945946,1.0,0.0
what is the admission criteria for btech,Those candidates unable to show the proof of fulfilling the eligibility criteria may be given a provisional admission subject to Those candidates unable to show the proof of fulfilling the eligibility criteria presenting such a proof by the following September 30th.,0,0.0,1.4426950408889634,1.4426950408889634,0.0,1.4426950408889634,1.4426950408889634,1.0,1.0,0.0
what is the admission criteria for btech,The minimum eligibility criteria for applying is that a candidate must have secured 80 percent or more marks in the aggregate and 80% or more in Mathematics in class XII from CBSE or ICSE or IB board or equivalent is eligible for applying to IIIT-Delhi.,0,0.0,0.0,0.0,1.7461081164312424,0.0,0.0,1.945945945945946,1.0,0.0
what is the admission criteria for btech,The admission of a student may be cancelled by the Senate even at a later date if the Senate is found that a student had supplied some false information or suppressed any relevant information while seeking admission.,0,0.0,1.4426950408889634,1.4426950408889634,0.30341307554227914,1.4426950408889634,1.4426950408889634,1.0,1.0,0.0
I am in 1st year. Can I take overload?,Third and fourth year students having a CGPA of more than 8.0 can take an overload of up to 2 additional credits over 22 credits.,0,0.8164965809277263,1.0553065218326048,0.8164965809277258,0.8164965809277263,1.0553065218326048,0.8164965809277258,-1.4629654804695844,0.0,0.0
I am in 1st year. Can I take overload?,First year students cannot take any overload.,0,0.5581106265512472,0.0,2.0008056674402104,0.5581106265512472,0.0,2.0008056674402104,0.0,0.0,0.0
I am in 1st year. Can I take overload?,Second year students having a CGPA of more than 8.0 can take an overload of up to 2 additional credits over 20 credits.,0,0.5581106265512472,1.4426950408889634,2.0008056674402104,0.5581106265512472,1.4426950408889634,2.0008056674402104,0.0,0.0,0.0
I am in 1st year. Can I take overload?,"If a student passes 3 or less technical courses in the entire first year and was on leave in either of the two semesters, a student will have to repeat the first year, ie, a student or she has to do first semester in the next academic year and will not be allowed to continue with the third semester.",0,0.0,1.4426950408889634,1.4426950408889634,0.0,1.4426950408889634,1.4426950408889634,1.0,0.0,0.0
I am in 1st year. Can I take overload?,"If a student repeating the first year fails in more than 1 technical courses in either semester of the repeat year, a student repeating the first year or a student repeating the first year program will be terminated.",0,0.0,1.4426950408889634,1.4426950408889634,0.0,1.4426950408889634,1.4426950408889634,1.0,0.0,0.0
I am in 2nd year. Can I take overload?,"Out of to 6 credits of courses that are offered during the summer term (inclusive of SG or CW credits), for students who have completed the 2nd year of to 6 credits of courses that are offered during the summer term (inclusive of SG or CW credits) btech program, may be allowed to take up to 4 credits for IP or IS or UR or BTP.",0,1.7688517072622216,0.6229575986992162,1.7688517072622219,1.7688517072622216,0.6229575986992162,1.7688517072622219,-0.43180130314675547,0.0,0.0
I am in 2nd year. Can I take overload?,Third and fourth year students having a CGPA of more than 8.0 can take an overload of up to 2 additional credits over 22 credits.,0,0.5581106265512472,1.4426950408889634,2.0008056674402104,0.5581106265512472,1.4426950408889634,2.0008056674402104,0.0,0.0,0.0
I am in 2nd year. Can I take overload?,First year students cannot take any overload.,0,0.5581106265512472,0.0,2.0008056674402104,0.5581106265512472,0.0,2.0008056674402104,0.0,0.0,0.0
I am in 2nd year. Can I take overload?,Second year students having a CGPA of more than 8.0 can take an overload of up to 2 additional credits over 20 credits.,0,0.5581106265512472,1.4426950408889634,2.0008056674402104,0.5581106265512472,1.4426950408889634,2.0008056674402104,0.0,0.0,0.0
I am in 2nd year. Can I take overload?,"If a student passes 3 or less technical courses in the entire first year and was on leave in either of the two semesters, a student will have to repeat the first year, ie, a student or she has to do first semester in the next academic year and will not be allowed to continue with the third semester.",0,0.0,1.4426950408889634,1.4426950408889634,0.0,1.4426950408889634,1.4426950408889634,1.0,0.0,0.0
what happens if I miss the endsem because of a medical reason?,"For medical reasons, only two medical applications including mid-semester and end-semester would be accepted for make-up examinations during the entire duration of the btech degree completion.",0,1.0228174548707742,-0.30127875929499975,0.8077317924098895,0.9038362778849994,-0.30127875929499975,0.8077317924098895,0.48488945742048006,0.0,0.0
what happens if I miss the endsem because of a medical reason?,"If a student, for valid reasons such as illness, etc, fails to appear in the end-semester examination in one or more course(s), a student or she may make a request to the instructor and the academic office for a make-up examination within two days of the date of the scheduled examination.",0,0.6213349345596119,0.6213349345596119,1.4426950408889634,1.531574161186449,0.6213349345596119,1.4426950408889634,1.0,1.0,0.0
what happens if I miss the endsem because of a medical reason?,"For courses other than project  or  independent study, incomplete grade I is meant primarily for medical reasons.",0,0.9102392266268373,0.0,1.8204784532536746,0.9102392266268373,0.0,1.8204784532536746,0.0,1.0,0.0
what happens if I miss the endsem because of a medical reason?,"Further, for the grant of medical leave, students are required to upload the medical certificate within five working days from the date of the scheduled examination.",0,0.0,0.0,1.4426950408889634,0.9102392266268373,0.0,1.4426950408889634,1.0,1.0,0.0
what happens if I miss the endsem because of a medical reason?,The Institute reserves the right to get the medical certificate verified from the Institute Doctor.,0,0.0,0.0,0.9102392266268373,0.9102392266268373,0.0,0.9102392266268373,1.0,1.0,0.0
what happens if I fail a course?,The limit one course in a semester for OC means that no more than 4 credits of OC can be taken in a semester.,0,-1.2247448713915892,-8.187691134870795,0.8322477684552338,0.0,-8.187691134870795,0.8322477684552338,3.126072609831701,0.0,0.0
what happens if I fail a course?,A btech student is allowed to register for online courses (OC) as regular courses (and not in the category of Independent Project (IP) or Independent Study (IS) or Undergraduate Research (UR) or btech Project (BTP)).,0,0.0,1.4426950408889634,1.4426950408889634,0.2611892565642242,1.4426950408889634,1.4426950408889634,1.0,2.0,0.0
what happens if I fail a course?,Students can take advantage of the increasing amount of such courses made available by reputed universities across the world to complement the courses offered in the institute.,0,0.2611892565642242,0.9102392266268373,0.9102392266268373,0.2611892565642242,0.9102392266268373,0.9102392266268373,1.0,2.0,0.0
what happens if I fail a course?,"Intensive short-term courses of 2 credits are also possible, though it is expected that the duration of such a course will be no less than 3 weeks.",0,0.2611892565642242,1.4426950408889634,1.4426950408889634,0.2611892565642242,1.4426950408889634,1.4426950408889634,0.0,2.0,0.0
what happens if I fail a course?,The course is likely to be run as a short course on a very specialized topic.,0,0.2611892565642242,1.4426950408889634,1.4426950408889634,0.2611892565642242,1.4426950408889634,1.4426950408889634,0.0,2.0,0.0
what happens if I get an F grade in a course?,"Based on students’ performance in the refresher module, only students with F or D grade may be allowed at most half the letter grade improvement (ie improvement from F to D or D to C- -), although any student can attend.",0,1.563485119458733,-0.9343457976798266,-1.970091831957081,1.0057191683231133,-0.9343457976798266,-1.970091831957081,1.7953793360450638,0.0,0.0
what happens if I get an F grade in a course?,The pass grade for the respective course will count towards the SGPA of the semester in which the course is passed and not in the semester where F’ grade was awarded.,0,0.8825241911238361,2.352934267515801,2.685364910008187,0.8825241911238361,2.352934267515801,2.685364910008187,0.0,0.0,0.0
what happens if I get an F grade in a course?,"For at most one compulsory (core) course, after getting an F twice in the course, a student may be allowed to replace it by an elective course of the respective discipline with the prior approval from DOAA.",0,0.2611892565642242,0.9102392266268373,2.8853900817779268,0.8825241911238361,0.9102392266268373,2.8853900817779268,0.0,0.0,0.0
what happens if I get an F grade in a course?,"For all courses including project-based courses, An I (Incomplete) grade must be converted to a regular grade within one month of the end of the current term (ie, the moderation date).",0,0.2611892565642242,2.8853900817779268,2.8853900817779268,0.8825241911238361,2.8853900817779268,2.8853900817779268,0.0,0.0,0.0
what happens if I get an F grade in a course?,An F and X grade obtained in any course shall be reflected in the grade sheet.,0,0.8825241911238361,1.7038842974531876,1.7038842974531876,0.8825241911238361,1.7038842974531876,1.7038842974531876,0.0,0.0,0.0
Can i take 8 credits of online courses in a semester,A student can take upto 8 credits of Online Courses in A student btech degree.,0,0.2390309602655975,1.6752455605141063,3.8941544118353555,0.9875770903074674,1.6752455605141063,3.8941544118353555,0.0,0.0,0.0
Can i take 8 credits of online courses in a semester,"Intensive short-term courses of 2 credits are also possible, though it is expected that the duration of such a course will be no less than 3 weeks.",0,1.4426950408889634,4.32808512266689,2.8853900817779268,1.7196329342978207,4.32808512266689,2.8853900817779268,2.0,3.0,0.0
Can i take 8 credits of online courses in a semester,The limit one course in a semester for OC means that no more than 4 credits of OC can be taken in a semester.,0,0.7320575067222761,1.7196329342978207,2.1747525476112393,1.6422967333491134,1.7196329342978207,2.1747525476112393,2.0,3.0,0.0
Can i take 8 credits of online courses in a semester,IIIT-Delhi has evolved a system for allowing students to take online courses.,0,0.9102392266268373,0.9102392266268373,1.8204784532536746,0.9102392266268373,0.9102392266268373,1.8204784532536746,2.0,3.0,0.0
Can i take 8 credits of online courses in a semester,"While taking courses in the Institute is the primary means for a student to earn credits, there may be other approved provisions for earning credit through projects, studying in other Institutions and transferring credits, etc Such provisions will be provided in these or other regulations.",0,0.0,4.32808512266689,2.8853900817779268,0.0,4.32808512266689,2.8853900817779268,2.0,3.0,0.0
how many credits do i need to graduate,"Intensive short-term courses of 2 credits are also possible, though it is expected that the duration of such a course will be no less than 3 weeks.",0,0.0,0.5015213338826423,0.3145442501538489,0.0,0.5015213338826423,0.3145442501538489,1.2,0.0,0.0
how many credits do i need to graduate,"While taking courses in the Institute is the primary means for a student to earn credits, there may be other approved provisions for earning credit through projects, studying in other Institutions and transferring credits, etc Such provisions will be provided in these or other regulations.",0,0.0,4.32808512266689,1.4426950408889634,0.0,4.32808512266689,1.4426950408889634,3.0,3.0,0.0
how many credits do i need to graduate,"Certain courses such as SelfGrowth (SG), Community Work (CW), may be taken for varying number of credits on case to case basis.",0,0.0,2.8853900817779268,0.40242960438184466,0.0,2.8853900817779268,0.40242960438184466,3.0,3.0,0.0
how many credits do i need to graduate,A student can take upto 8 credits of Online Courses in A student btech degree.,0,0.0,4.32808512266689,1.4426950408889634,0.0,4.32808512266689,1.4426950408889634,0.0,3.0,0.0
how many credits do i need to graduate,"Registration after completion of 156 credits, required for graduation, will be allowed in only one extra semester.",0,0.0,3.263173494142638,0.9102392266268373,0.0,3.263173494142638,0.9102392266268373,0.0,3.0,0.0
how is my semester graded,"A semester is of about four months in duration with 13 weeks of teaching, a mid- semester recess, a mid-semester examination, and an end-semester examination.",0,0.8164965809277258,-3.0287559901468826,0.0,0.4082482904638629,-3.0287559901468826,0.0,2.9483021296846905,0.0,0.0
how is my semester graded,"If a student gets academic warning because of low SGPA (of <4.0) in two consecutive semesters and or or gets two or more F grades each in two consecutive semesters, a student or a student program will be terminated.",0,0.0,0.0,1.4426950408889634,0.0,0.0,1.4426950408889634,1.0,0.0,0.0
how is my semester graded,"Generally the last 10 days in mid-semester are reserved for the end-semester examination, presentations, demos, etc The summer term is about half the duration of the regular semesters, and the courses taught run at a faster pace to complete in duration of the summer term.",0,0.0,1.4426950408889634,1.4426950408889634,0.2769378934088574,1.4426950408889634,1.4426950408889634,1.0,0.0,0.0
how is my semester graded,"The academic calendar, published every year or semester, specifies the dates for major academic activities like registration, examinations, mid-semester recess, etc, will be prepared and published by DOAA, and tabled in the Senate.",0,0.2769378934088574,0.2769378934088574,1.4426950408889634,0.2769378934088574,0.2769378934088574,1.4426950408889634,0.0,0.0,0.0
how is my semester graded,"The course will have 1.5 hours of lectures per week for the whole semester, or 3 hours of lectures per week for half the semester.",0,0.2769378934088574,1.4426950408889634,1.4426950408889634,0.2769378934088574,1.4426950408889634,1.4426950408889634,0.0,0.0,0.0
what if I do more than 156 credits in my btech course,"Registration after completion of 156 credits, required for graduation, will be allowed in only one extra semester.",0,-0.1703847461569745,-1.3011350102287151,-0.22791509634854915,0.28103283770462206,-1.3011350102287151,-0.22791509634854915,-4.091446465847535,3.7194967871341222,0.0
what if I do more than 156 credits in my btech course,"btech students are allowed to do extra credits"" beyond 156 credits required for completion of btech requirement.",0,1.2136523021691166,2.1238915287959537,2.1238915287959537,1.2136523021691166,2.1238915287959537,2.1238915287959537,3.0,0.0,0.0
what if I do more than 156 credits in my btech course,"For example, if a student has done 164 credits (excluding SG or CW credits) including OC of 4 credits, CGPA will be computed from best grades corresponding to 152 credits.",0,1.4426950408889634,2.8853900817779268,1.4426950408889634,1.4426950408889634,2.8853900817779268,1.4426950408889634,3.0,0.0,0.0
what if I do more than 156 credits in my btech course,"For example, if a student has done 120 credits including OC of 4 credits, CGPA will be computed from best grades corresponding to 112 credits.",0,1.4426950408889634,2.8853900817779268,1.4426950408889634,1.4426950408889634,2.8853900817779268,1.4426950408889634,3.0,0.0,0.0
what if I do more than 156 credits in my btech course,"Intensive short-term courses of 2 credits are also possible, though it is expected that the duration of such a course will be no less than 3 weeks.",0,0.0,2.8853900817779268,2.8853900817779268,0.0,2.8853900817779268,2.8853900817779268,2.0,2.0,0.0
How is sgpa calculated,"F’ grade shall not be counted in the calculation of the CGPA, although F’ grade is counted in the calculation of SGPA.",0,0.8164965809277259,-0.30818153225077166,-1.7717363445472396,0.0,-0.30818153225077166,-1.7717363445472396,0.0,0.0,0.0
How is sgpa calculated,"F’ grade shall not be counted in the calculation of CGPA, however, F’ grade is counted in the calculation of SGPA.",0,0.45511961331341866,0.9102392266268373,0.45511961331341866,0.45511961331341866,0.9102392266268373,0.45511961331341866,0.0,0.0,0.0
How is sgpa calculated,"The SGPA (u1.w1 + u2.w2 +  + un.wn)  or  (u1 + u2 +  + un) where ui is the number of credits for the course i and wi is the points earned through the letter grade in that course, and n is the number of courses taken in the semester.",0,0.0,0.7213475204444817,1.4426950408889634,0.45511961331341866,0.7213475204444817,1.4426950408889634,0.0,0.0,0.0
How is sgpa calculated,The semester performance is indicated by a Semester Grade Point Average (SGPA) which is a weighted sum of all the points earned in the courses done in a semester.,0,0.0,1.4426950408889634,1.4426950408889634,0.45511961331341866,1.4426950408889634,1.4426950408889634,0.0,0.0,0.0
How is sgpa calculated,The pass grade for the respective course will count towards the SGPA of the semester in which the course is passed and not in the semester where F’ grade was awarded.,0,0.45511961331341866,0.9102392266268373,0.45511961331341866,0.45511961331341866,0.9102392266268373,0.45511961331341866,0.0,0.0,0.0
formula for sgpa,The SGPA is given for each semester and is computed using the following formula.,0,0.8164965809277259,-0.30818153225077166,3.4047295064026906,0.0,-0.30818153225077166,3.4047295064026906,0.0,0.0,0.0
formula for sgpa,"The SGPA (u1.w1 + u2.w2 +  + un.wn)  or  (u1 + u2 +  + un) where ui is the number of credits for the course i and wi is the points earned through the letter grade in that course, and n is the number of courses taken in the semester.",0,0.0,0.7213475204444817,1.4426950408889634,0.45511961331341866,0.7213475204444817,1.4426950408889634,0.0,0.0,0.0
formula for sgpa,The semester performance is indicated by a Semester Grade Point Average (SGPA) which is a weighted sum of all the points earned in the courses done in a semester.,0,0.0,1.4426950408889634,1.4426950408889634,0.45511961331341866,1.4426950408889634,1.4426950408889634,0.0,0.0,0.0
formula for sgpa,The pass grade for the respective course will count towards the SGPA of the semester in which the course is passed and not in the semester where F’ grade was awarded.,0,0.45511961331341866,0.9102392266268373,0.45511961331341866,0.45511961331341866,0.9102392266268373,0.45511961331341866,0.0,0.0,0.0
formula for sgpa,"F’ grade shall not be counted in the calculation of the CGPA, although F’ grade is counted in the calculation of SGPA.",0,0.45511961331341866,0.9102392266268373,0.45511961331341866,0.45511961331341866,0.9102392266268373,0.45511961331341866,0.0,0.0,0.0
what is the i grade,"All unconverted I grades are automatically converted to F grade after the grade conversion deadline, which is one month after the moderation date.",0,1.844785742169902,0.37482763580215794,0.37482763580215794,0.7496552716043163,0.37482763580215794,0.37482763580215794,-0.759086598017822,0.0,0.0
what is the i grade,"Any such request for change of grade must, however, be made within four weeks of the start of the next semester with all relevant records and justification.",0,0.45511961331341866,0.45511961331341866,0.45511961331341866,0.45511961331341866,0.45511961331341866,0.45511961331341866,2.0,0.0,0.0
what is the i grade,"In the academic courses, the final grades awarded are A to F (A+ is a grade with same points as A, and is there to honor excellence).",0,0.45511961331341866,1.4426950408889634,1.4426950408889634,0.45511961331341866,1.4426950408889634,1.4426950408889634,0.0,0.0,0.0
what is the i grade,"For courses other than project  or  independent study, incomplete grade I is meant primarily for medical reasons.",0,0.0,1.4426950408889634,1.4426950408889634,1.4426950408889634,1.4426950408889634,1.4426950408889634,0.0,0.0,0.0
what is the i grade,"For all courses including project-based courses, An I (Incomplete) grade must be converted to a regular grade within one month of the end of the current term (ie, the moderation date).",0,0.0,1.4426950408889634,1.4426950408889634,1.4426950408889634,1.4426950408889634,1.4426950408889634,0.0,0.0,0.0
can I replace a core course on getting an F grade?,"For at most one compulsory (core) course, after getting an F twice in the course, a student may be allowed to replace it by an elective course of the respective discipline with the prior approval from DOAA.",0,-0.5000000000000001,0.7618595071429148,5.500000000000002,-1.0000000000000002,0.7618595071429148,5.500000000000002,-1.386294361119891,-0.34657359027997275,0.0
can I replace a core course on getting an F grade?,"During the summer term, a student may be permitted to drop one course by the late drop date.",0,1.4426950408889634,0.0,1.4426950408889634,1.4426950408889634,0.0,1.4426950408889634,1.0,0.0,0.0
can I replace a core course on getting an F grade?,"For some important core courses, refresher modules may be offered during vacations for students’ benefit.",0,0.0,1.4426950408889634,2.8853900817779268,0.0,1.4426950408889634,2.8853900817779268,1.0,0.0,0.0
can I replace a core course on getting an F grade?,The limit one course in a semester for OC means that no more than 4 credits of OC can be taken in a semester.,0,0.0,0.0,1.4426950408889634,0.0,0.0,1.4426950408889634,1.0,1.0,0.0
can I replace a core course on getting an F grade?,"In addition, a student can withdraw from at most one elective course up to the last date specified in the academic calendar, which will normally be after the mid-semester examination.",0,0.0,0.0,1.4426950408889634,1.4426950408889634,0.0,1.4426950408889634,1.0,0.0,0.0
how can I get the grade given to me in a course changed?,"All unconverted I grades are automatically converted to F grade after the grade conversion deadline, which is one month after the moderation date.",0,1.9146529077984362,-0.36359057709497977,-0.9398680074060863,1.5470370023858322,-0.36359057709497977,-0.9398680074060863,-0.7988901520809487,-1.5977803041618974,0.0
how can I get the grade given to me in a course changed?,"For all courses including project-based courses, An I (Incomplete) grade must be converted to a regular grade within one month of the end of the current term (ie, the moderation date).",0,0.2611892565642242,2.8853900817779268,2.8853900817779268,1.7038842974531876,2.8853900817779268,2.8853900817779268,0.0,0.0,0.0
how can I get the grade given to me in a course changed?,The limit one course in a semester for OC means that no more than 4 credits of OC can be taken in a semester.,0,0.0,0.0,1.4426950408889634,0.2611892565642242,0.0,1.4426950408889634,1.0,2.0,0.0
how can I get the grade given to me in a course changed?,"In the academic courses, the final grades awarded are A to F (A+ is a grade with same points as A, and is there to honor excellence).",0,0.45511961331341866,2.8853900817779268,2.8853900817779268,0.7163088698776429,2.8853900817779268,2.8853900817779268,0.0,0.0,0.0
how can I get the grade given to me in a course changed?,Students can take advantage of the increasing amount of such courses made available by reputed universities across the world to complement the courses offered in the institute.,0,0.2611892565642242,0.9102392266268373,0.9102392266268373,0.2611892565642242,0.9102392266268373,0.9102392266268373,1.0,2.0,0.0
how will my cgpa be computed if I do more than 156 credits?,"For example, if a student has done 164 credits (excluding SG or CW credits) including OC of 4 credits, CGPA will be computed from best grades corresponding to 152 credits.",0,1.1275379743546259,0.307263055714391,-0.6764989617573735,0.6356569656187439,0.307263055714391,-0.6764989617573735,0.8100726090226191,-0.8100726090226189,0.0
how will my cgpa be computed if I do more than 156 credits?,"For example, if a student has done 120 credits including OC of 4 credits, CGPA will be computed from best grades corresponding to 112 credits.",0,1.8216182225789146,3.643236445157829,1.8216182225789146,1.8216182225789146,3.643236445157829,1.8216182225789146,3.0,0.0,0.0
how will my cgpa be computed if I do more than 156 credits?,"If a student has done N credits more than 116, then for CGPA computation the following will be done:.",0,0.0,4.32808512266689,4.32808512266689,0.3789231816899512,4.32808512266689,4.32808512266689,3.0,0.0,0.0
how will my cgpa be computed if I do more than 156 credits?,"Registration after completion of 156 credits, required for graduation, will be allowed in only one extra semester.",0,0.9102392266268373,1.8204784532536746,1.8204784532536746,0.9102392266268373,1.8204784532536746,1.8204784532536746,0.0,3.0,0.0
how will my cgpa be computed if I do more than 156 credits?,CGPA will be computed based on the remaining credits.,0,0.3789231816899512,3.643236445157829,1.8216182225789146,1.8216182225789146,3.643236445157829,1.8216182225789146,3.0,0.0,0.0
is there any rule for attendance?,Repeaters who are repeating first year are also allowed branch transfer under the above-mentioned rules.,0,1.2247448713915892,0.0,-0.7164298227146354,1.2247448713915892,0.0,-0.7164298227146354,-1.3455197661940435,0.0,0.0
is there any rule for attendance?,Rules for program transfer are:.,0,0.9102392266268373,0.0,0.9102392266268373,0.9102392266268373,0.0,0.9102392266268373,0.0,0.0,0.0
is there any rule for attendance?,Regular rules for backlog will apply for any courses he or she may have failed.,0,0.0,0.0,1.4426950408889634,0.0,0.0,1.4426950408889634,1.0,0.0,0.0
is there any rule for attendance?,"However, in both the cases, a student has to follow rule 2 mentioned above.",0,0.0,0.0,1.4426950408889634,0.0,0.0,1.4426950408889634,1.0,0.0,0.0
is there any rule for attendance?,"Penalty for students’ whose attendance falls below a threshold will be as decided by Senate from time to time, and communicated to students.",0,0.0,0.0,1.4426950408889634,0.0,0.0,1.4426950408889634,1.0,0.0,0.0
how can I apply for a semester leave?,"Students wanting to avail internship (industrial, academic, research, etc) without taking semester leave can do so with prior approval of the DOAA in only one semester of Students wanting to avail internship (industrial, academic, research, etc) without taking semester leave degree program.",0,-1.2247448713915892,2.621796962038259,3.438293542965984,-1.6329931618554523,2.621796962038259,3.438293542965984,0.0,0.0,0.0
how can I apply for a semester leave?,Any circumstance leading to more than four semester leave or drop may result in the automatic termination of the entire program.,0,0.0,0.0,2.8853900817779268,0.5138983423697507,0.0,2.8853900817779268,0.0,0.0,0.0
how can I apply for a semester leave?,"If a student is absent from the Institute for more than 20 days in a semester due to medical or any other reason, this may be converted to a semester leave for that semester by DOAA.",0,0.5138983423697507,1.4426950408889634,1.4426950408889634,0.5138983423697507,1.4426950408889634,1.4426950408889634,0.0,0.0,0.0
how can I apply for a semester leave?,The minimum duration for completing the btech program is 8 semesters (excluding the semesters in which the student took semester leave or the repeated semester or year).,0,0.5138983423697507,0.5138983423697507,1.4426950408889634,0.5138983423697507,0.5138983423697507,1.4426950408889634,0.0,0.0,0.0
how can I apply for a semester leave?,The maximum duration within which the requirements must be completed is six years (12 semesters) (including the semester in which student took semester leave or the repeated semester or year).,0,0.5138983423697507,0.5138983423697507,1.4426950408889634,0.5138983423697507,0.5138983423697507,1.4426950408889634,0.0,0.0,0.0
